Order_ID,Date,Customer,Product,Category,Quantity,Unit_Price,Total
1001,2026-04-13,Customer_436,Notebook,Stationery,1,8.15,8.15
1002,2026-05-02,Customer_467,Desk,Furniture,3,247.96,743.88
1003,2026-04-27,Customer_100,Notebook,Stationery,4,8.24,32.96
1004,2026-02-22,Customer_344,Office Chair,Furniture,2,168.55,337.1
1005,2026-01-21,Customer_161,Backpack,Accessories,2,40.56,81.12
1006,2026-03-30,Customer_561,Backpack,Accessories,4,43.13,172.52
1007,2026-01-15,Customer_190,Headphones,Electronics,4,80.23,320.92
1008,2026-03-05,Customer_505,Headphones,Electronics,1,81.72,81.72
1009,2026-01-21,Customer_167,Phone,Electronics,4,598.64,2394.56
1010,2026-01-14,Customer_242,Backpack,Accessories,1,40.64,40.64
1011,2026-05-10,Customer_340,Desk,Furniture,4,249.76,999.04
1012,2026-06-24,Customer_035,Laptop,Electronics,4,795.98,3183.92
1013,2026-05-12,Customer_002,Office Chair,Furniture,2,181.68,363.36
1014,2026-02-23,Customer_477,Phone,Electronics,2,544.47,1088.94
1015,2026-01-14,Customer_271,Notebook,Stationery,2,7.51,15.02
1016,2026-02-09,Customer_338,Keyboard,Electronics,4,43.71,174.84
1017,2026-05-04,Customer_493,Pen,Stationery,1,3.18,3.18
1018,2026-03-06,Customer_521,Notebook,Stationery,1,7.52,7.52
1019,2026-03-04,Customer_139,Headphones,Electronics,1,83.38,83.38
1020,2026-06-12,Customer_289,Keyboard,Electronics,2,43.73,87.46
1021,2026-02-10,Customer_028,Desk,Furniture,1,256.16,256.16
1022,2026-06-11,Customer_033,Desk,Furniture,3,258.44,775.32
1023,2026-02-06,Customer_099,Notebook,Stationery,2,8.62,17.24
1024,2026-04-11,Customer_462,Headphones,Electronics,1,83.55,83.55
1025,2026-05-22,Customer_393,Backpack,Accessories,2,44.45,88.9
1026,2026-06-28,Customer_575,Desk,Furniture,1,240.72,240.72
1027,2026-04-06,Customer_485,Desk,Furniture,3,245.52,736.56
1028,2026-06-20,Customer_541,Mouse,Electronics,1,22.88,22.88
1029,2026-03-27,Customer_578,Backpack,Accessories,1,43.16,43.16
1030,2026-05-14,Customer_028,Mouse,Electronics,2,26.92,53.84
1031,2026-05-08,Customer_506,Desk,Furniture,4,242.81,971.24
1032,2026-05-09,Customer_377,Pen,Stationery,4,2.91,11.64
1033,2026-01-03,Customer_359,Office Chair,Furniture,4,181.23,724.92
1034,2026-03-03,Customer_677,Laptop,Electronics,3,810.8,2432.4
1035,2026-06-01,Customer_374,Notebook,Stationery,1,7.85,7.85
1036,2026-03-03,Customer_497,Backpack,Accessories,4,42.72,170.88
1037,2026-02-08,Customer_386,Headphones,Electronics,1,74.37,74.37
1038,2026-03-22,Customer_699,Laptop,Electronics,2,850.46,1700.92
1039,2026-02-23,Customer_225,Laptop,Electronics,3,880.72,2642.16
1040,2026-02-22,Customer_684,Backpack,Accessories,4,45.48,181.92
1041,2026-03-09,Customer_439,Notebook,Stationery,3,7.59,22.77
1042,2026-02-07,Customer_280,Keyboard,Electronics,4,49.35,197.4
1043,2026-05-19,Customer_511,Laptop,Electronics,1,819.53,819.53
1044,2026-03-11,Customer_464,Headphones,Electronics,4,77.22,308.88
1045,2026-06-13,Customer_403,Backpack,Accessories,3,47.79,143.37
1046,2026-05-28,Customer_489,Laptop,Electronics,4,830.75,3323.0
1047,2026-03-23,Customer_641,Pen,Stationery,1,2.83,2.83
1048,2026-06-08,Customer_298,Headphones,Electronics,3,82.56,247.68
1049,2026-03-31,Customer_624,Pen,Stationery,4,3.02,12.08
1050,2026-01-02,Customer_304,Keyboard,Electronics,1,48.44,48.44
1051,2026-01-09,Customer_233,Headphones,Electronics,3,83.62,250.86
1052,2026-05-11,Customer_404,Notebook,Stationery,2,8.45,16.9
1053,2026-06-01,Customer_628,Laptop,Electronics,4,898.51,3594.04
1054,2026-04-14,Customer_254,Headphones,Electronics,4,73.62,294.48
1055,2026-04-09,Customer_153,Phone,Electronics,4,528.59,2114.36
1056,2026-02-23,Customer_163,Pen,Stationery,4,3.13,12.52
1057,2026-02-02,Customer_398,Keyboard,Electronics,4,47.22,188.88
1058,2026-05-08,Customer_392,Desk,Furniture,3,257.88,773.64
1059,2026-02-02,Customer_688,Headphones,Electronics,2,76.24,152.48
1060,2026-06-07,Customer_038,Office Chair,Furniture,1,179.52,179.52
1061,2026-01-08,Customer_283,Phone,Electronics,1,550.29,550.29
1062,2026-01-28,Customer_481,Keyboard,Electronics,4,47.0,188.0
1063,2026-05-27,Customer_516,Headphones,Electronics,4,82.33,329.32
1064,2026-01-17,Customer_172,Keyboard,Electronics,2,43.83,87.66
1065,2026-02-06,Customer_280,Laptop,Electronics,2,929.33,1858.66
1066,2026-04-09,Customer_700,Laptop,Electronics,4,815.06,3260.24
1067,2026-06-09,Customer_161,Headphones,Electronics,4,77.96,311.84
1068,2026-02-23,Customer_570,Headphones,Electronics,4,73.13,292.52
1069,2026-04-24,Customer_288,Office Chair,Furniture,3,167.04,501.12
1070,2026-06-04,Customer_490,Phone,Electronics,2,576.48,1152.96
1071,2026-06-10,Customer_393,Office Chair,Furniture,4,181.9,727.6
1072,2026-06-19,Customer_538,Headphones,Electronics,2,85.87,171.74
1073,2026-01-13,Customer_506,Desk,Furniture,1,256.39,256.39
1074,2026-01-20,Customer_321,Notebook,Stationery,4,7.83,31.32
1075,2026-05-22,Customer_471,Phone,Electronics,2,543.23,1086.46
1076,2026-03-27,Customer_051,Pen,Stationery,2,3.03,6.06
1077,2026-05-05,Customer_150,Backpack,Accessories,2,40.77,81.54
1078,2026-06-29,Customer_682,Office Chair,Furniture,3,174.97,524.91
1079,2026-04-11,Customer_264,Keyboard,Electronics,4,42.44,169.76
1080,2026-01-05,Customer_103,Mouse,Electronics,2,22.76,45.52
1081,2026-04-26,Customer_350,Headphones,Electronics,3,74.21,222.63
1082,2026-05-24,Customer_269,Phone,Electronics,4,573.61,2294.44
1083,2026-05-27,Customer_657,Notebook,Stationery,3,7.89,23.67
1084,2026-02-27,Customer_346,Keyboard,Electronics,2,49.16,98.32
1085,2026-01-23,Customer_127,Pen,Stationery,4,2.95,11.8
1086,2026-02-27,Customer_634,Laptop,Electronics,3,807.54,2422.62
1087,2026-05-06,Customer_118,Pen,Stationery,4,3.26,13.04
1088,2026-05-09,Customer_272,Desk,Furniture,4,252.72,1010.88
1089,2026-01-22,Customer_247,Headphones,Electronics,4,81.06,324.24
1090,2026-06-28,Customer_086,Pen,Stationery,1,2.77,2.77
1091,2026-03-10,Customer_047,Laptop,Electronics,2,910.43,1820.86
1092,2026-05-24,Customer_218,Backpack,Accessories,4,47.76,191.04
1093,2026-04-10,Customer_289,Keyboard,Electronics,3,40.93,122.79
1094,2026-03-10,Customer_100,Phone,Electronics,4,536.21,2144.84
1095,2026-05-27,Customer_442,Laptop,Electronics,4,876.98,3507.92
1096,2026-01-04,Customer_016,Notebook,Stationery,4,8.23,32.92
1097,2026-05-08,Customer_160,Mouse,Electronics,4,25.89,103.56
1098,2026-06-12,Customer_380,Laptop,Electronics,1,902.9,902.9
1099,2026-06-20,Customer_613,Headphones,Electronics,1,87.38,87.38
1100,2026-03-15,Customer_043,Phone,Electronics,1,505.39,505.39
1101,2026-02-04,Customer_090,Notebook,Stationery,1,8.55,8.55
1102,2026-03-31,Customer_418,Headphones,Electronics,1,79.94,79.94
1103,2026-02-27,Customer_501,Phone,Electronics,1,598.03,598.03
1104,2026-04-30,Customer_420,Pen,Stationery,1,3.28,3.28
1105,2026-06-13,Customer_394,Keyboard,Electronics,1,45.62,45.62
1106,2026-06-26,Customer_099,Mouse,Electronics,2,23.75,47.5
1107,2026-04-06,Customer_664,Desk,Furniture,2,253.09,506.18
1108,2026-01-12,Customer_369,Desk,Furniture,1,262.0,262.0
1109,2026-04-09,Customer_273,Laptop,Electronics,2,849.42,1698.84
1110,2026-03-27,Customer_397,Headphones,Electronics,1,72.86,72.86
1111,2026-05-27,Customer_076,Pen,Stationery,3,3.27,9.81
1112,2026-05-08,Customer_564,Headphones,Electronics,2,82.11,164.22
1113,2026-04-27,Customer_069,Headphones,Electronics,4,77.26,309.04
1114,2026-05-03,Customer_469,Mouse,Electronics,1,26.46,26.46
1115,2026-02-26,Customer_039,Keyboard,Electronics,2,49.27,98.54
1116,2026-05-22,Customer_223,Backpack,Accessories,1,47.13,47.13
1117,2026-03-16,Customer_658,Pen,Stationery,2,3.2,6.4
1118,2026-05-25,Customer_253,Office Chair,Furniture,3,177.34,532.02
1119,2026-06-17,Customer_170,Pen,Stationery,2,3.24,6.48
1120,2026-01-05,Customer_029,Keyboard,Electronics,2,49.38,98.76
1121,2026-04-19,Customer_342,Mouse,Electronics,1,27.24,27.24
1122,2026-02-14,Customer_132,Mouse,Electronics,2,26.04,52.08
1123,2026-01-19,Customer_445,Office Chair,Furniture,3,177.27,531.81
1124,2026-03-31,Customer_531,Desk,Furniture,2,249.63,499.26
1125,2026-05-21,Customer_220,Backpack,Accessories,4,41.57,166.28
1126,2026-03-02,Customer_361,Desk,Furniture,1,259.05,259.05
1127,2026-04-02,Customer_190,Pen,Stationery,3,2.99,8.97
1128,2026-06-02,Customer_117,Office Chair,Furniture,2,162.44,324.88
1129,2026-06-09,Customer_173,Keyboard,Electronics,4,45.25,181.0
1130,2026-06-13,Customer_227,Headphones,Electronics,4,73.21,292.84
1131,2026-02-16,Customer_233,Laptop,Electronics,2,815.06,1630.12
1132,2026-01-01,Customer_373,Office Chair,Furniture,2,175.83,351.66
1133,2026-01-12,Customer_330,Notebook,Stationery,2,7.93,15.86
1134,2026-06-05,Customer_373,Notebook,Stationery,2,7.5,15.0
1135,2026-03-31,Customer_648,Backpack,Accessories,4,45.75,183.0
1136,2026-04-11,Customer_041,Mouse,Electronics,4,24.77,99.08
1137,2026-05-25,Customer_201,Laptop,Electronics,1,903.35,903.35
1138,2026-06-06,Customer_558,Headphones,Electronics,1,87.05,87.05
1139,2026-04-25,Customer_256,Keyboard,Electronics,3,48.77,146.31
1140,2026-01-10,Customer_242,Keyboard,Electronics,3,44.2,132.6
1141,2026-04-28,Customer_065,Phone,Electronics,4,603.38,2413.52
1142,2026-01-11,Customer_282,Pen,Stationery,2,3.2,6.4
1143,2026-06-26,Customer_461,Laptop,Electronics,2,771.26,1542.52
1144,2026-05-09,Customer_405,Desk,Furniture,2,259.59,519.18
1145,2026-04-05,Customer_645,Office Chair,Furniture,3,182.0,546.0
1146,2026-02-22,Customer_677,Backpack,Accessories,2,43.9,87.8
1147,2026-03-26,Customer_078,Pen,Stationery,2,2.85,5.7
1148,2026-06-22,Customer_446,Laptop,Electronics,1,893.69,893.69
1149,2026-02-03,Customer_348,Notebook,Stationery,3,8.27,24.81
1150,2026-06-11,Customer_438,Office Chair,Furniture,3,180.73,542.19
1151,2026-01-12,Customer_054,Keyboard,Electronics,2,48.39,96.78
1152,2026-02-26,Customer_401,Desk,Furniture,3,264.23,792.69
1153,2026-05-22,Customer_578,Headphones,Electronics,3,74.18,222.54
1154,2026-02-07,Customer_306,Phone,Electronics,2,538.15,1076.3
1155,2026-04-01,Customer_435,Phone,Electronics,4,555.22,2220.88
1156,2026-03-20,Customer_542,Desk,Furniture,2,268.12,536.24
1157,2026-05-13,Customer_138,Notebook,Stationery,1,7.99,7.99
